ID,2022_Value,ActivityMetric,AMKEY,group,query,Value
119_X_Impala,0.0,Expenditure on employee training per employee,119.0,Impala,Expenditure on employee training per employee in Impala company in the year ,
119_X_Oceana1&2,0.0,Expenditure on employee training per employee,119.0,Oceana1&2,Expenditure on employee training per employee in Oceana1&2 company in the year ,
119_X_Picknpay,0.0,Expenditure on employee training per employee,119.0,Picknpay,Expenditure on employee training per employee in Picknpay company in the year ,
119_X_Sasol,0.0,Expenditure on employee training per employee,119.0,Sasol,Expenditure on employee training per employee in Sasol company in the year ,
119_X_Ssw,0.0,Expenditure on employee training per employee,119.0,Ssw,Expenditure on employee training per employee in Ssw company in the year ,
119_X_Tongaat,0.0,Expenditure on employee training per employee,119.0,Tongaat,Expenditure on employee training per employee in Tongaat company in the year ,
119_X_Uct1&2,0.0,Expenditure on employee training per employee,119.0,Uct1&2,Expenditure on employee training per employee in Uct1&2 company in the year ,
11_X_Absa,0.0,ALL Administration expenses per income statement,11.0,Absa,ALL Administration expenses per income statement in Absa company in the year ,
11_X_Clicks,0.0,ALL Administration expenses per income statement,11.0,Clicks,ALL Administration expenses per income statement in Clicks company in the year ,
11_X_Distell,0.0,ALL Administration expenses per income statement,11.0,Distell,ALL Administration expenses per income statement in Distell company in the year ,
11_X_Impala,0.0,ALL Administration expenses per income statement,11.0,Impala,ALL Administration expenses per income statement in Impala company in the year ,
11_X_Oceana1&2,0.0,ALL Administration expenses per income statement,11.0,Oceana1&2,ALL Administration expenses per income statement in Oceana1&2 company in the year ,
11_X_Picknpay,0.0,ALL Administration expenses per income statement,11.0,Picknpay,ALL Administration expenses per income statement in Picknpay company in the year ,
11_X_Sasol,0.0,ALL Administration expenses per income statement,11.0,Sasol,ALL Administration expenses per income statement in Sasol company in the year ,
11_X_Ssw,0.0,ALL Administration expenses per income statement,11.0,Ssw,ALL Administration expenses per income statement in Ssw company in the year ,
11_X_Tongaat,0.0,ALL Administration expenses per income statement,11.0,Tongaat,ALL Administration expenses per income statement in Tongaat company in the year ,
11_X_Uct1&2,0.0,ALL Administration expenses per income statement,11.0,Uct1&2,ALL Administration expenses per income statement in Uct1&2 company in the year ,
120_X_Absa,0.0,Expenditures on employee health and safety (Total spend on occupational safety initiatives),120.0,Absa,Expenditures on employee health and safety (Total spend on occupational safety initiatives) in Absa company in the year ,
120_X_Clicks,0.0,Expenditures on employee health and safety (Total spend on occupational safety initiatives),120.0,Clicks,Expenditures on employee health and safety (Total spend on occupational safety initiatives) in Clicks company in the year ,
120_X_Distell,0.0,Expenditures on employee health and safety (Total spend on occupational safety initiatives),120.0,Distell,Expenditures on employee health and safety (Total spend on occupational safety initiatives) in Distell company in the year ,
120_X_Impala,0.0,Expenditures on employee health and safety (Total spend on occupational safety initiatives),120.0,Impala,Expenditures on employee health and safety (Total spend on occupational safety initiatives) in Impala company in the year ,
120_X_Oceana1&2,0.0,Expenditures on employee health and safety (Total spend on occupational safety initiatives),120.0,Oceana1&2,Expenditures on employee health and safety (Total spend on occupational safety initiatives) in Oceana1&2 company in the year ,
120_X_Picknpay,0.0,Expenditures on employee health and safety (Total spend on occupational safety initiatives),120.0,Picknpay,Expenditures on employee health and safety (Total spend on occupational safety initiatives) in Picknpay company in the year ,
120_X_Sasol,0.0,Expenditures on employee health and safety (Total spend on occupational safety initiatives),120.0,Sasol,Expenditures on employee health and safety (Total spend on occupational safety initiatives) in Sasol company in the year ,
120_X_Ssw,0.0,Expenditures on employee health and safety (Total spend on occupational safety initiatives),120.0,Ssw,Expenditures on employee health and safety (Total spend on occupational safety initiatives) in Ssw company in the year ,
120_X_Tongaat,0.0,Expenditures on employee health and safety (Total spend on occupational safety initiatives),120.0,Tongaat,Expenditures on employee health and safety (Total spend on occupational safety initiatives) in Tongaat company in the year ,
120_X_Uct1&2,0.0,Expenditures on employee health and safety (Total spend on occupational safety initiatives),120.0,Uct1&2,Expenditures on employee health and safety (Total spend on occupational safety initiatives) in Uct1&2 company in the year ,
121_X_Absa,0.0,Expenditures on employee health and safety as a proportion of revenue,121.0,Absa,Expenditures on employee health and safety as a proportion of revenue in Absa company in the year ,
121_X_Clicks,0.0,Expenditures on employee health and safety as a proportion of revenue,121.0,Clicks,Expenditures on employee health and safety as a proportion of revenue in Clicks company in the year ,
121_X_Distell,0.0,Expenditures on employee health and safety as a proportion of revenue,121.0,Distell,Expenditures on employee health and safety as a proportion of revenue in Distell company in the year ,
121_X_Impala,0.0,Expenditures on employee health and safety as a proportion of revenue,121.0,Impala,Expenditures on employee health and safety as a proportion of revenue in Impala company in the year ,
121_X_Oceana1&2,0.0,Expenditures on employee health and safety as a proportion of revenue,121.0,Oceana1&2,Expenditures on employee health and safety as a proportion of revenue in Oceana1&2 company in the year ,
121_X_Picknpay,0.0,Expenditures on employee health and safety as a proportion of revenue,121.0,Picknpay,Expenditures on employee health and safety as a proportion of revenue in Picknpay company in the year ,
121_X_Sasol,0.0,Expenditures on employee health and safety as a proportion of revenue,121.0,Sasol,Expenditures on employee health and safety as a proportion of revenue in Sasol company in the year ,
121_X_Ssw,0.0,Expenditures on employee health and safety as a proportion of revenue,121.0,Ssw,Expenditures on employee health and safety as a proportion of revenue in Ssw company in the year ,
121_X_Tongaat,0.0,Expenditures on employee health and safety as a proportion of revenue,121.0,Tongaat,Expenditures on employee health and safety as a proportion of revenue in Tongaat company in the year ,
121_X_Uct1&2,0.0,Expenditures on employee health and safety as a proportion of revenue,121.0,Uct1&2,Expenditures on employee health and safety as a proportion of revenue in Uct1&2 company in the year ,
122_X_Clicks,0.0,Fatal injury frequency rate (FIFR),122.0,Clicks,Fatal injury frequency rate (FIFR) in Clicks company in the year ,
122_X_Distell,0.0,Fatal injury frequency rate (FIFR),122.0,Distell,Fatal injury frequency rate (FIFR) in Distell company in the year ,
122_X_Oceana1&2,0.0,Fatal injury frequency rate (FIFR),122.0,Oceana1&2,Fatal injury frequency rate (FIFR) in Oceana1&2 company in the year ,
122_X_Picknpay,0.0,Fatal injury frequency rate (FIFR),122.0,Picknpay,Fatal injury frequency rate (FIFR) in Picknpay company in the year ,
122_X_Ssw,0.0,Fatal injury frequency rate (FIFR),122.0,Ssw,Fatal injury frequency rate (FIFR) in Ssw company in the year ,
122_X_Uct1&2,0.0,Fatal injury frequency rate (FIFR),122.0,Uct1&2,Fatal injury frequency rate (FIFR) in Uct1&2 company in the year ,
123_X_Absa,0.0,Fatality rate,123.0,Absa,Fatality rate in Absa company in the year ,
123_X_Clicks,0.0,Fatality rate,123.0,Clicks,Fatality rate in Clicks company in the year ,
123_X_Distell,0.0,Fatality rate,123.0,Distell,Fatality rate in Distell company in the year ,
123_X_Impala,0.0,Fatality rate,123.0,Impala,Fatality rate in Impala company in the year ,
123_X_Picknpay,0.0,Fatality rate,123.0,Picknpay,Fatality rate in Picknpay company in the year ,
123_X_Sasol,0.0,Fatality rate,123.0,Sasol,Fatality rate in Sasol company in the year ,
123_X_Ssw,0.0,Fatality rate,123.0,Ssw,Fatality rate in Ssw company in the year ,
123_X_Tongaat,0.0,Fatality rate,123.0,Tongaat,Fatality rate in Tongaat company in the year ,
123_X_Uct1&2,0.0,Fatality rate,123.0,Uct1&2,Fatality rate in Uct1&2 company in the year ,
124_X_Absa,0.0,Finance cost per income statement,124.0,Absa,Finance cost per income statement in Absa company in the year ,
124_X_Clicks,0.0,Finance cost per income statement,124.0,Clicks,Finance cost per income statement in Clicks company in the year ,
124_X_Distell,0.0,Finance cost per income statement,124.0,Distell,Finance cost per income statement in Distell company in the year ,
124_X_Impala,0.0,Finance cost per income statement,124.0,Impala,Finance cost per income statement in Impala company in the year ,
124_X_Oceana1&2,0.0,Finance cost per income statement,124.0,Oceana1&2,Finance cost per income statement in Oceana1&2 company in the year ,
124_X_Picknpay,0.0,Finance cost per income statement,124.0,Picknpay,Finance cost per income statement in Picknpay company in the year ,
124_X_Sasol,0.0,Finance cost per income statement,124.0,Sasol,Finance cost per income statement in Sasol company in the year ,
124_X_Ssw,0.0,Finance cost per income statement,124.0,Ssw,Finance cost per income statement in Ssw company in the year ,
124_X_Tongaat,0.0,Finance cost per income statement,124.0,Tongaat,Finance cost per income statement in Tongaat company in the year ,
125_X_Absa,0.0,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period,125.0,Absa,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period in Absa company in the year ,
125_X_Clicks,0.0,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period,125.0,Clicks,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period in Clicks company in the year ,
125_X_Distell,0.0,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period,125.0,Distell,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period in Distell company in the year ,
125_X_Impala,0.0,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period,125.0,Impala,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period in Impala company in the year ,
125_X_Oceana1&2,0.0,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period,125.0,Oceana1&2,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period in Oceana1&2 company in the year ,
125_X_Picknpay,0.0,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period,125.0,Picknpay,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period in Picknpay company in the year ,
125_X_Sasol,0.0,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period,125.0,Sasol,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period in Sasol company in the year ,
125_X_Ssw,0.0,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period,125.0,Ssw,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period in Ssw company in the year ,
125_X_Tongaat,0.0,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period,125.0,Tongaat,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period in Tongaat company in the year ,
125_X_Uct1&2,0.0,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period,125.0,Uct1&2,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period in Uct1&2 company in the year ,
126_X_Absa,0.0,Frequency/incident rates of occupational injuries,126.0,Absa,Frequency/incident rates of occupational injuries in Absa company in the year ,
126_X_Clicks,0.0,Frequency/incident rates of occupational injuries,126.0,Clicks,Frequency/incident rates of occupational injuries in Clicks company in the year ,
126_X_Distell,0.0,Frequency/incident rates of occupational injuries,126.0,Distell,Frequency/incident rates of occupational injuries in Distell company in the year ,
126_X_Impala,0.0,Frequency/incident rates of occupational injuries,126.0,Impala,Frequency/incident rates of occupational injuries in Impala company in the year ,
126_X_Oceana1&2,0.0,Frequency/incident rates of occupational injuries,126.0,Oceana1&2,Frequency/incident rates of occupational injuries in Oceana1&2 company in the year ,
126_X_Picknpay,0.0,Frequency/incident rates of occupational injuries,126.0,Picknpay,Frequency/incident rates of occupational injuries in Picknpay company in the year ,
126_X_Sasol,0.0,Frequency/incident rates of occupational injuries,126.0,Sasol,Frequency/incident rates of occupational injuries in Sasol company in the year ,
126_X_Ssw,0.0,Frequency/incident rates of occupational injuries,126.0,Ssw,Frequency/incident rates of occupational injuries in Ssw company in the year ,
126_X_Tongaat,0.0,Frequency/incident rates of occupational injuries,126.0,Tongaat,Frequency/incident rates of occupational injuries in Tongaat company in the year ,
126_X_Uct1&2,0.0,Frequency/incident rates of occupational injuries,126.0,Uct1&2,Frequency/incident rates of occupational injuries in Uct1&2 company in the year ,
128_X_Clicks,0.0,GHG Scope 1 emissions,128.0,Clicks,GHG Scope 1 emissions in Clicks company in the year ,
128_X_Picknpay,0.0,GHG Scope 1 emissions,128.0,Picknpay,GHG Scope 1 emissions in Picknpay company in the year ,
128_X_Ssw,0.0,GHG Scope 1 emissions,128.0,Ssw,GHG Scope 1 emissions in Ssw company in the year ,
129_X_Clicks,0.0,GHG Scope 2 emissions,129.0,Clicks,GHG Scope 2 emissions in Clicks company in the year ,
129_X_Picknpay,0.0,GHG Scope 2 emissions,129.0,Picknpay,GHG Scope 2 emissions in Picknpay company in the year ,
129_X_Ssw,0.0,GHG Scope 2 emissions,129.0,Ssw,GHG Scope 2 emissions in Ssw company in the year ,
12_X_Absa,0.0,All Inury Frequency Rate (Injuries/1m hrs worked),12.0,Absa,All Inury Frequency Rate (Injuries/1m hrs worked) in Absa company in the year ,
12_X_Clicks,0.0,All Inury Frequency Rate (Injuries/1m hrs worked),12.0,Clicks,All Inury Frequency Rate (Injuries/1m hrs worked) in Clicks company in the year ,
12_X_Distell,0.0,All Inury Frequency Rate (Injuries/1m hrs worked),12.0,Distell,All Inury Frequency Rate (Injuries/1m hrs worked) in Distell company in the year ,
12_X_Impala,0.0,All Inury Frequency Rate (Injuries/1m hrs worked),12.0,Impala,All Inury Frequency Rate (Injuries/1m hrs worked) in Impala company in the year ,
12_X_Oceana1&2,0.0,All Inury Frequency Rate (Injuries/1m hrs worked),12.0,Oceana1&2,All Inury Frequency Rate (Injuries/1m hrs worked) in Oceana1&2 company in the year ,
12_X_Picknpay,0.0,All Inury Frequency Rate (Injuries/1m hrs worked),12.0,Picknpay,All Inury Frequency Rate (Injuries/1m hrs worked) in Picknpay company in the year ,
12_X_Sasol,0.0,All Inury Frequency Rate (Injuries/1m hrs worked),12.0,Sasol,All Inury Frequency Rate (Injuries/1m hrs worked) in Sasol company in the year ,
12_X_Ssw,0.0,All Inury Frequency Rate (Injuries/1m hrs worked),12.0,Ssw,All Inury Frequency Rate (Injuries/1m hrs worked) in Ssw company in the year ,
12_X_Uct1&2,0.0,All Inury Frequency Rate (Injuries/1m hrs worked),12.0,Uct1&2,All Inury Frequency Rate (Injuries/1m hrs worked) in Uct1&2 company in the year ,
130_X_Clicks,0.0,GHG Scope 3 emissions,130.0,Clicks,GHG Scope 3 emissions in Clicks company in the year ,
130_X_Impala,0.0,GHG Scope 3 emissions,130.0,Impala,GHG Scope 3 emissions in Impala company in the year ,
130_X_Picknpay,0.0,GHG Scope 3 emissions,130.0,Picknpay,GHG Scope 3 emissions in Picknpay company in the year ,
130_X_Sasol,0.0,GHG Scope 3 emissions,130.0,Sasol,GHG Scope 3 emissions in Sasol company in the year ,
130_X_Tongaat,0.0,GHG Scope 3 emissions,130.0,Tongaat,GHG Scope 3 emissions in Tongaat company in the year ,
132_X_Absa,0.0,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary,132.0,Absa,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary in Absa company in the year ,
132_X_Clicks,0.0,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary,132.0,Clicks,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary in Clicks company in the year ,
132_X_Distell,0.0,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary,132.0,Distell,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary in Distell company in the year ,
132_X_Impala,0.0,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary,132.0,Impala,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary in Impala company in the year ,
132_X_Oceana1&2,0.0,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary,132.0,Oceana1&2,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary in Oceana1&2 company in the year ,
132_X_Picknpay,0.0,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary,132.0,Picknpay,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary in Picknpay company in the year ,
132_X_Sasol,0.0,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary,132.0,Sasol,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary in Sasol company in the year ,
132_X_Ssw,0.0,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary,132.0,Ssw,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary in Ssw company in the year ,
132_X_Tongaat,0.0,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary,132.0,Tongaat,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary in Tongaat company in the year ,
132_X_Uct1&2,0.0,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary,132.0,Uct1&2,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary in Uct1&2 company in the year ,
133_X_Clicks,0.0,Greenhouse Gas (GHG) intensity rate,133.0,Clicks,Greenhouse Gas (GHG) intensity rate in Clicks company in the year ,
133_X_Distell,0.0,Greenhouse Gas (GHG) intensity rate,133.0,Distell,Greenhouse Gas (GHG) intensity rate in Distell company in the year ,
133_X_Impala,0.0,Greenhouse Gas (GHG) intensity rate,133.0,Impala,Greenhouse Gas (GHG) intensity rate in Impala company in the year ,
133_X_Oceana1&2,0.0,Greenhouse Gas (GHG) intensity rate,133.0,Oceana1&2,Greenhouse Gas (GHG) intensity rate in Oceana1&2 company in the year ,
133_X_Picknpay,0.0,Greenhouse Gas (GHG) intensity rate,133.0,Picknpay,Greenhouse Gas (GHG) intensity rate in Picknpay company in the year ,
133_X_Sasol,0.0,Greenhouse Gas (GHG) intensity rate,133.0,Sasol,Greenhouse Gas (GHG) intensity rate in Sasol company in the year ,
133_X_Tongaat,0.0,Greenhouse Gas (GHG) intensity rate,133.0,Tongaat,Greenhouse Gas (GHG) intensity rate in Tongaat company in the year ,
133_X_Uct1&2,0.0,Greenhouse Gas (GHG) intensity rate,133.0,Uct1&2,Greenhouse Gas (GHG) intensity rate in Uct1&2 company in the year ,
134_X_Absa,0.0,Gross Value Added,134.0,Absa,Gross Value Added in Absa company in the year ,
134_X_Clicks,0.0,Gross Value Added,134.0,Clicks,Gross Value Added in Clicks company in the year ,
134_X_Distell,0.0,Gross Value Added,134.0,Distell,Gross Value Added in Distell company in the year ,
134_X_Impala,0.0,Gross Value Added,134.0,Impala,Gross Value Added in Impala company in the year ,
134_X_Oceana1&2,0.0,Gross Value Added,134.0,Oceana1&2,Gross Value Added in Oceana1&2 company in the year ,
134_X_Picknpay,0.0,Gross Value Added,134.0,Picknpay,Gross Value Added in Picknpay company in the year ,
134_X_Sasol,0.0,Gross Value Added,134.0,Sasol,Gross Value Added in Sasol company in the year ,
134_X_Ssw,0.0,Gross Value Added,134.0,Ssw,Gross Value Added in Ssw company in the year ,
134_X_Tongaat,0.0,Gross Value Added,134.0,Tongaat,Gross Value Added in Tongaat company in the year ,
134_X_Uct1&2,0.0,Gross Value Added,134.0,Uct1&2,Gross Value Added in Uct1&2 company in the year ,
135_X_Absa,0.0,Hazardous waste,135.0,Absa,Hazardous waste in Absa company in the year ,
135_X_Clicks,0.0,Hazardous waste,135.0,Clicks,Hazardous waste in Clicks company in the year ,
135_X_Impala,0.0,Hazardous waste,135.0,Impala,Hazardous waste in Impala company in the year ,
135_X_Oceana1&2,0.0,Hazardous waste,135.0,Oceana1&2,Hazardous waste in Oceana1&2 company in the year ,
135_X_Picknpay,0.0,Hazardous waste,135.0,Picknpay,Hazardous waste in Picknpay company in the year ,
135_X_Ssw,0.0,Hazardous waste,135.0,Ssw,Hazardous waste in Ssw company in the year ,
135_X_Tongaat,0.0,Hazardous waste,135.0,Tongaat,Hazardous waste in Tongaat company in the year ,
135_X_Uct1&2,0.0,Hazardous waste,135.0,Uct1&2,Hazardous waste in Uct1&2 company in the year ,
136_X_Absa,0.0,Hazardous waste recycled,136.0,Absa,Hazardous waste recycled in Absa company in the year ,
136_X_Clicks,0.0,Hazardous waste recycled,136.0,Clicks,Hazardous waste recycled in Clicks company in the year ,
136_X_Distell,0.0,Hazardous waste recycled,136.0,Distell,Hazardous waste recycled in Distell company in the year ,
136_X_Oceana1&2,0.0,Hazardous waste recycled,136.0,Oceana1&2,Hazardous waste recycled in Oceana1&2 company in the year ,
136_X_Picknpay,0.0,Hazardous waste recycled,136.0,Picknpay,Hazardous waste recycled in Picknpay company in the year ,
136_X_Sasol,0.0,Hazardous waste recycled,136.0,Sasol,Hazardous waste recycled in Sasol company in the year ,
136_X_Tongaat,0.0,Hazardous waste recycled,136.0,Tongaat,Hazardous waste recycled in Tongaat company in the year ,
136_X_Uct1&2,0.0,Hazardous waste recycled,136.0,Uct1&2,Hazardous waste recycled in Uct1&2 company in the year ,
137_X_Absa,0.0,Hazardous waste recycled as a percentage of total waste,137.0,Absa,Hazardous waste recycled as a percentage of total waste in Absa company in the year ,
137_X_Clicks,0.0,Hazardous waste recycled as a percentage of total waste,137.0,Clicks,Hazardous waste recycled as a percentage of total waste in Clicks company in the year ,
137_X_Distell,0.0,Hazardous waste recycled as a percentage of total waste,137.0,Distell,Hazardous waste recycled as a percentage of total waste in Distell company in the year ,
137_X_Impala,0.0,Hazardous waste recycled as a percentage of total waste,137.0,Impala,Hazardous waste recycled as a percentage of total waste in Impala company in the year ,
137_X_Oceana1&2,0.0,Hazardous waste recycled as a percentage of total waste,137.0,Oceana1&2,Hazardous waste recycled as a percentage of total waste in Oceana1&2 company in the year ,
137_X_Picknpay,0.0,Hazardous waste recycled as a percentage of total waste,137.0,Picknpay,Hazardous waste recycled as a percentage of total waste in Picknpay company in the year ,
137_X_Sasol,0.0,Hazardous waste recycled as a percentage of total waste,137.0,Sasol,Hazardous waste recycled as a percentage of total waste in Sasol company in the year ,
137_X_Ssw,0.0,Hazardous waste recycled as a percentage of total waste,137.0,Ssw,Hazardous waste recycled as a percentage of total waste in Ssw company in the year ,
137_X_Tongaat,0.0,Hazardous waste recycled as a percentage of total waste,137.0,Tongaat,Hazardous waste recycled as a percentage of total waste in Tongaat company in the year ,
137_X_Uct1&2,0.0,Hazardous waste recycled as a percentage of total waste,137.0,Uct1&2,Hazardous waste recycled as a percentage of total waste in Uct1&2 company in the year ,
138_X_Absa,0.0,Hazardous waste to legal landfill,138.0,Absa,Hazardous waste to legal landfill in Absa company in the year ,
138_X_Clicks,0.0,Hazardous waste to legal landfill,138.0,Clicks,Hazardous waste to legal landfill in Clicks company in the year ,
138_X_Distell,0.0,Hazardous waste to legal landfill,138.0,Distell,Hazardous waste to legal landfill in Distell company in the year ,
138_X_Impala,0.0,Hazardous waste to legal landfill,138.0,Impala,Hazardous waste to legal landfill in Impala company in the year ,
138_X_Oceana1&2,0.0,Hazardous waste to legal landfill,138.0,Oceana1&2,Hazardous waste to legal landfill in Oceana1&2 company in the year ,
138_X_Picknpay,0.0,Hazardous waste to legal landfill,138.0,Picknpay,Hazardous waste to legal landfill in Picknpay company in the year ,
138_X_Sasol,0.0,Hazardous waste to legal landfill,138.0,Sasol,Hazardous waste to legal landfill in Sasol company in the year ,
138_X_Uct1&2,0.0,Hazardous waste to legal landfill,138.0,Uct1&2,Hazardous waste to legal landfill in Uct1&2 company in the year ,
13_X_Absa,0.0,"Amount of assets under management, by asset class, that employ governance issues",13.0,Absa,"Amount of assets under management, by asset class, that employ governance issues in Absa company in the year ",
13_X_Clicks,0.0,"Amount of assets under management, by asset class, that employ governance issues",13.0,Clicks,"Amount of assets under management, by asset class, that employ governance issues in Clicks company in the year ",
13_X_Distell,0.0,"Amount of assets under management, by asset class, that employ governance issues",13.0,Distell,"Amount of assets under management, by asset class, that employ governance issues in Distell company in the year ",
13_X_Impala,0.0,"Amount of assets under management, by asset class, that employ governance issues",13.0,Impala,"Amount of assets under management, by asset class, that employ governance issues in Impala company in the year ",
13_X_Oceana1&2,0.0,"Amount of assets under management, by asset class, that employ governance issues",13.0,Oceana1&2,"Amount of assets under management, by asset class, that employ governance issues in Oceana1&2 company in the year ",
13_X_Picknpay,0.0,"Amount of assets under management, by asset class, that employ governance issues",13.0,Picknpay,"Amount of assets under management, by asset class, that employ governance issues in Picknpay company in the year ",
13_X_Sasol,0.0,"Amount of assets under management, by asset class, that employ governance issues",13.0,Sasol,"Amount of assets under management, by asset class, that employ governance issues in Sasol company in the year ",
13_X_Ssw,0.0,"Amount of assets under management, by asset class, that employ governance issues",13.0,Ssw,"Amount of assets under management, by asset class, that employ governance issues in Ssw company in the year ",
13_X_Tongaat,0.0,"Amount of assets under management, by asset class, that employ governance issues",13.0,Tongaat,"Amount of assets under management, by asset class, that employ governance issues in Tongaat company in the year ",
13_X_Uct1&2,0.0,"Amount of assets under management, by asset class, that employ governance issues",13.0,Uct1&2,"Amount of assets under management, by asset class, that employ governance issues in Uct1&2 company in the year ",
141_X_Absa,0.0,Income from investments per income statement,141.0,Absa,Income from investments per income statement in Absa company in the year ,
141_X_Clicks,0.0,Income from investments per income statement,141.0,Clicks,Income from investments per income statement in Clicks company in the year ,
141_X_Distell,0.0,Income from investments per income statement,141.0,Distell,Income from investments per income statement in Distell company in the year ,
141_X_Impala,0.0,Income from investments per income statement,141.0,Impala,Income from investments per income statement in Impala company in the year ,
141_X_Oceana1&2,0.0,Income from investments per income statement,141.0,Oceana1&2,Income from investments per income statement in Oceana1&2 company in the year ,
141_X_Picknpay,0.0,Income from investments per income statement,141.0,Picknpay,Income from investments per income statement in Picknpay company in the year ,
141_X_Sasol,0.0,Income from investments per income statement,141.0,Sasol,Income from investments per income statement in Sasol company in the year ,
141_X_Ssw,0.0,Income from investments per income statement,141.0,Ssw,Income from investments per income statement in Ssw company in the year ,
141_X_Tongaat,0.0,Income from investments per income statement,141.0,Tongaat,Income from investments per income statement in Tongaat company in the year ,
141_X_Uct1&2,0.0,Income from investments per income statement,141.0,Uct1&2,Income from investments per income statement in Uct1&2 company in the year ,
142_X_Absa,0.0,Industry membership contributions per income statement,142.0,Absa,Industry membership contributions per income statement in Absa company in the year ,
142_X_Clicks,0.0,Industry membership contributions per income statement,142.0,Clicks,Industry membership contributions per income statement in Clicks company in the year ,
142_X_Distell,0.0,Industry membership contributions per income statement,142.0,Distell,Industry membership contributions per income statement in Distell company in the year ,
142_X_Impala,0.0,Industry membership contributions per income statement,142.0,Impala,Industry membership contributions per income statement in Impala company in the year ,
142_X_Oceana1&2,0.0,Industry membership contributions per income statement,142.0,Oceana1&2,Industry membership contributions per income statement in Oceana1&2 company in the year ,
142_X_Picknpay,0.0,Industry membership contributions per income statement,142.0,Picknpay,Industry membership contributions per income statement in Picknpay company in the year ,
142_X_Sasol,0.0,Industry membership contributions per income statement,142.0,Sasol,Industry membership contributions per income statement in Sasol company in the year ,
142_X_Ssw,0.0,Industry membership contributions per income statement,142.0,Ssw,Industry membership contributions per income statement in Ssw company in the year ,
142_X_Tongaat,0.0,Industry membership contributions per income statement,142.0,Tongaat,Industry membership contributions per income statement in Tongaat company in the year ,
142_X_Uct1&2,0.0,Industry membership contributions per income statement,142.0,Uct1&2,Industry membership contributions per income statement in Uct1&2 company in the year ,
143_X_Absa,0.0,Infrastructure development in host communities,143.0,Absa,Infrastructure development in host communities in Absa company in the year ,
143_X_Clicks,0.0,Infrastructure development in host communities,143.0,Clicks,Infrastructure development in host communities in Clicks company in the year ,
143_X_Distell,0.0,Infrastructure development in host communities,143.0,Distell,Infrastructure development in host communities in Distell company in the year ,
143_X_Impala,0.0,Infrastructure development in host communities,143.0,Impala,Infrastructure development in host communities in Impala company in the year ,
143_X_Picknpay,0.0,Infrastructure development in host communities,143.0,Picknpay,Infrastructure development in host communities in Picknpay company in the year ,
143_X_Sasol,0.0,Infrastructure development in host communities,143.0,Sasol,Infrastructure development in host communities in Sasol company in the year ,
143_X_Ssw,0.0,Infrastructure development in host communities,143.0,Ssw,Infrastructure development in host communities in Ssw company in the year ,
