AMKEY,Group,ActivityMetric,ClientMetric
962,Distell,Total Absolute GHG emissions (scope 1 - 3),"Total carbon emissions (tonnes of carbon dioxide equivalents, CO2 e) – Scopes 1, 2 and 3"
962,Oceana1&2,Total Absolute GHG emissions (scope 1 - 3),"Absolute GHG emissions (Total scope 1, 2 and outside of scopes (other direct emissions))"
962,Sasol,Total Absolute GHG emissions (scope 1 - 3),Total greenhouse gas (CO2 equivalent) (kilotons)
962,Uct1&2,Total Absolute GHG emissions (scope 1 - 3),Total Emissions
1040,Distell,Lost days,Number of lost days (Distell Group)
1041,Tongaat,Percentage of non-executive board members,Percentage of non-executive Board members
1041,Distell,Percentage of non-executive board members,Percentage of board members who are deemed non-executive
1042,Tongaat,Percentage of independent board members,Percentage of independent Board members
1042,Ssw,Percentage of independent board members,"Independent, non-executive directors"
1042,Distell,Percentage of independent board members,Percentage of board members who are deemed 'independent'
1070,Tongaat,Fines associated with environmental incidents,Environmental fines and/or non-compliances
